source,target,weight
79876,70180,0.8716887358049732
79876,75403,0.8349678617788704
79876,76853,0.902556422943623
79876,79084,0.851326547517667
79876,97837,0.9077153621841084
79876,99560,0.8534437203278683
10248,8081,0.8368948366814675
10248,19698,0.7828020568123639
10248,19851,0.8003677475810921
10248,20577,0.796851520295427
10248,50804,0.7809587398975653
10248,21431,0.7715292210528678
22538,1980,0.7776836760494519
22538,6265,0.7831015705299498
22538,20589,0.8243340721656897
6155,616,0.8211134164190431
6155,1045,0.8146077157570066
6155,2184,0.8079208475500536
6155,7059,0.8221632939902149
6155,13830,0.8826166552160489
92175,65353,0.8141808937876581
92175,75142,0.9076956008959349
92175,80580,0.8374345929535105
92175,83793,0.8509965134519041
92175,90479,0.8498935161902187
92175,73594,0.8737082154532034
92175,77804,0.8663034194510623
92175,87706,0.8507602012411966
92175,96833,0.8655814342781748
92175,92464,0.8253024640881214
94229,59067,0.8524597960979515
94229,65353,0.8278451395021271
94229,66307,0.7451632081490797
94229,78840,0.8047682472807202
94229,79667,0.8776584574906966
94229,79795,0.8850433065656832
94229,81476,0.834134551315248
94229,82434,0.8638949587888141
94229,83272,0.9053717979023573
94229,99514,0.7154501214980811
75798,67053,0.8565014585017531
75798,76251,0.8914727375890857
75798,78934,0.8613984568966564
75798,80482,0.8608764513109117
75798,81636,0.8637734247716464
75798,88265,0.8746735355888523
75798,98574,0.8720136862818717
75798,89157,0.8468549836424065
94232,62782,0.84541604593706
94232,67939,0.8833462784729976
94232,76853,0.9097479706596333
94232,80369,0.8971798574126829
94232,83210,0.9024458974707081
94232,85153,0.8836456993586559
94232,86939,0.897123206453266
94232,87706,0.8875250098315786
94232,88265,0.9273253821050725
94232,88731,0.8242667127228575
94232,93564,0.8683723200084635
94232,97441,0.9061159380503617
94232,98930,0.9072522773099558
94232,99485,0.9321546015160239
94232,99560,0.903691162428385
94232,95105,0.858977584676255
94232,97421,0.8575543287425725
94232,98685,0.8933829181648155
73755,75100,0.7905183401378143
73755,83310,0.8633561018878696
73755,83962,0.8221824626896691
73755,91388,0.8230217916941932
73755,95672,0.7983100784237986
92202,51076,0.8486587988213354
92202,51867,0.852464906057906
92202,69215,0.8559497728857651
92202,76251,0.8981283850659013
92202,83342,0.8939189735638015
92202,84213,0.8787883753134139
92202,87704,0.9079926596525514
92202,87941,0.8723149884746675
92202,89691,0.9225019860959678
92202,89400,0.8774108488734095
92202,94016,0.9141949005408411
92202,97837,0.9059606607411181
6187,393,0.823637593614318
6187,7650,0.871333955054702
6187,8516,0.8429276459439756
6187,17034,0.8184614903170342
6187,16238,0.6850754770442723
6187,24912,0.8024160936621573
59437,57492,0.807464103471129
59437,59797,0.868016802311245
59437,63163,0.8384118998551884
59437,66499,0.8587316971700514
59437,67835,0.8458520977606694
59437,73594,0.8826575626068506
59437,75142,0.8453273787262597
59437,83793,0.8305658388081927
59437,95672,0.8392271398322351
59437,64227,0.7149184590853936
22575,12533,0.7896270638632786
22575,14263,0.7650687586592134
22575,17853,0.8251391922356036
22575,18231,0.7875574209058152
22575,23231,0.7671679486815134
2100,236,0.8295348620428369
2100,1457,0.850474489168685
2100,2034,0.8481634580022668
2100,4732,0.8877933179082409
2100,5240,0.8588828978917462
2100,6983,0.8708412645558182
2100,7339,0.8992886611970755
2100,9993,0.8520652587501829
2100,3632,0.8256441030451814
2100,15916,0.8344470322790939
75829,49508,0.8392556360963215
75829,61201,0.8367584000256186
75829,66766,0.8121662382573224
75829,70784,0.8459077339966316
75829,64708,0.8705387630292812
75829,73231,0.876943019799566
75829,89402,0.8702121347561911
75829,89646,0.9014954062740657
75829,90393,0.8894007208698925
75829,97916,0.8760866559745574
75829,87728,0.8249988406827464
75829,92410,0.8272979346450473
75829,98605,0.8460060908741115
12344,188,0.8676863951954163
12344,6510,0.7122444579029242
12344,1980,0.8051878328563875
12344,2589,0.8016552831377046
12344,15964,0.8250653761631538
12344,23138,0.7783282767359299
12344,23990,0.7088552712942119
26682,1543,0.7653099127434728
26682,14044,0.8254062965300974
26682,15337,0.8118274793810553
26682,24575,0.7540913181345781
26682,31879,0.8044904771239879
6210,186,0.8093469762434916
6210,1329,0.8196436231594983
6210,1357,0.829473107337491
6210,2304,0.8103549993271842
6210,4732,0.8108179943320827
6210,15128,0.8008687332807303
6210,17385,0.8510034688996224
6210,21974,0.890412642675867
55363,31305,0.8341298213546957
55363,51864,0.9297817888856599
55363,53440,0.8891512465737541
55363,76251,0.8861872531941944
55363,87706,0.865624540708603
55363,98574,0.9012270686569028
55363,55896,0.8265709516404128
67659,53425,0.816510417017962
67659,57105,0.931220305607931
67659,63163,0.8978704986611176
67659,66499,0.9270653440826708
67659,67053,0.8528854093922698
67659,67067,0.8600459052594243
67659,80490,0.8596560703316964
10317,1329,0.8422990419044346
10317,2304,0.8682404072888091
10317,5666,0.8729953381255395
10317,7493,0.8397363179629529
10317,7633,0.8117003486797367
10317,7758,0.8513471660490334
10317,9101,0.8453473691853048
10317,9152,0.8247006357415014
10317,6447,0.8564906918829763
10317,11364,0.8659486924982064
10317,12182,0.8951849387958152
10317,14935,0.8591952003578051
10317,15128,0.8855118726645872
10317,26510,0.861452655488193
10317,15147,0.8256755455861482
10317,17385,0.8417050348089886
8273,188,0.8190223404761587
8273,236,0.8727995901083507
8273,2022,0.8739501221840688
8273,2369,0.9468899777995553
8273,2473,0.8563857069565675
